Nombre,Localización,País,Latitud,Longitud,Altura,time_to_eruption_dt
,,,,,,13687142.212866249
,,,,,,35675498.59035293
,,,,,,44115364.627388
,,,,,,41098679.72551308
,,,,,,30505990.863935437
,,,,,,5228995.599873559
,,,,,,26190767.306613997
,,,,,,5419049.9210538175
,,,,,,16934442.111545846
,,,,,,24584786.757932674
,,,,,,16523878.175894814
,,,,,,34259248.43931488
,,,,,,8819230.96546676
,,,,,,15338500.353691204
,,,,,,27530506.022132788
,,,,,,9276127.889978573
,,,,,,3965103.509058992
,,,,,,5527644.371568172
,,,,,,14375366.937219892
,,,,,,23975474.685386304
,,,,,,2781579.629380871
,,,,,,39260525.03372176
,,,,,,26001613.59250751
,,,,,,46859191.95329963
,,,,,,23545485.51471326
,,,,,,31142879.436046388
,,,,,,3544378.3617287767
,,,,,,26828153.275100708
,,,,,,17748168.61932401
,,,,,,46287920.07439052
,,,,,,29958081.24258933
,,,,,,21135548.65982104
,,,,,,15457452.947706552
,,,,,,28303551.7043634
,,,,,,4518961.72657693
,,,,,,8655051.489292271
,,,,,,4119685.0433884985
,,,,,,2020340.4056706347
,,,,,,27337865.37775226
,,,,,,16237707.616703762
,,,,,,20219980.605107334
,,,,,,22006013.36567165
,,,,,,37266871.98054802
,,,,,,15766252.13633939
,,,,,,18080388.53756652
,,,,,,7626038.112760213
,,,,,,42967453.42398557
,,,,,,3049225.43089967
,,,,,,5181557.769062133
,,,,,,40471657.49253607
,,,,,,2832284.3786064587
,,,,,,30198810.252963196
,,,,,,2047867.2830731503
,,,,,,5377655.249359196
,,,,,,34028140.53681382
,,,,,,23771833.80811647
,,,,,,20081962.96333444
,,,,,,41142682.01226666
,,,,,,20601570.60755136
,,,,,,23136199.64001937
,,,,,,2016368.931912037
,,,,,,20169227.982726388
,,,,,,14382410.7483333
,,,,,,22048003.383659195
,,,,,,14911955.314692356
,,,,,,21386067.61812573
,,,,,,35361896.962512486
,,,,,,3229003.7895398666
,,,,,,37991593.3698805
,,,,,,13903144.797768336
,,,,,,6757376.205923732
,,,,,,25642906.400730077
,,,,,,29516992.866172917
,,,,,,279035.02632050915
,,,,,,4877536.963981553
,,,,,,12817838.63712226
,,,,,,23404586.871694185
,,,,,,48506072.47643644
,,,,,,26546376.95091516
,,,,,,40303812.02651972
,,,,,,1586945.584605778
,,,,,,35301896.00085718
,,,,,,3317424.993442388
,,,,,,33446738.50504023
,,,,,,24795556.96220942
,,,,,,32317422.541193184
,,,,,,-80653.29858686554
,,,,,,9605218.799235413
,,,,,,14621864.55475262
,,,,,,16514283.244755452
,,,,,,11140488.084837222
,,,,,,32879272.01007378
,,,,,,4869636.541013592
,,,,,,16588185.292639762
,,,,,,22687887.31879021
,,,,,,7357324.293320175
,,,,,,27830742.302460648
,,,,,,28486706.162786204
,,,,,,38063763.96387727
,,,,,,16195552.963424305
,,,,,,8710824.37647059
,,,,,,45595173.61984855
,,,,,,42975628.24592794
,,,,,,1964410.4182624817
,,,,,,14416764.801648034
,,,,,,27147162.515545264
,,,,,,6952044.85946119
,,,,,,33357746.523852337
,,,,,,32259766.364770435
,,,,,,25083550.7754308
,,,,,,10200608.320449753
,,,,,,5605414.483045612
,,,,,,11419028.42237018
,,,,,,40850391.06837507
,,,,,,30775763.17093476
,,,,,,13689678.244755452
,,,,,,8742406.064697068
,,,,,,15647016.514852146
,,,,,,10465076.888954028
,,,,,,41104128.04082985
,,,,,,614441.7268937211
,,,,,,27868761.699772835
,,,,,,45322436.59059302
,,,,,,16395589.716061313
,,,,,,14655128.257342994
,,,,,,37289003.11214397
,,,,,,20933343.88749168
,,,,,,42072961.08342002
,,,,,,13442455.56554128
,,,,,,13949661.508002872
,,,,,,21366572.181862257
,,,,,,13896045.2795263
,,,,,,4463231.929367487
,,,,,,41085322.40965584
,,,,,,24460850.107867356
,,,,,,12583986.127820073
,,,,,,9650132.923621291
,,,,,,23512961.1778104
,,,,,,19533083.822350785
,,,,,,19038437.86036144
,,,,,,24870340.584292963
,,,,,,45497815.45744361
,,,,,,16562373.864248704
,,,,,,17928913.39065524
,,,,,,27837038.28938964
,,,,,,33734674.93275606
,,,,,,15203027.920975056
,,,,,,28244624.670497656
,,,,,,1005955.7520915336
,,,,,,41386813.95158465
,,,,,,24715880.46279513
,,,,,,32170275.98201306
,,,,,,40119486.16325433
,,,,,,14084369.16081785
,,,,,,25175504.120868336
,,,,,,41938742.74737936
,,,,,,30701867.290824603
,,,,,,37721091.59210758
,,,,,,33079996.014007527
,,,,,,32174187.75297877
,,,,,,39078513.16527736
,,,,,,13331237.322701368
,,,,,,16372724.74009738
,,,,,,24024599.554535978
,,,,,,1852101.5308516093
,,,,,,21105715.48996286
,,,,,,1524098.3687051018
,,,,,,42150262.00357665
,,,,,,17461556.732967135
,,,,,,9608415.997164208
,,,,,,4400115.488670276
,,,,,,14617363.939108338
,,,,,,36390619.68375432
,,,,,,16397417.03935256
,,,,,,13487237.550044209
,,,,,,32943404.598625787
,,,,,,30145629.568311088
,,,,,,30838035.312534142
,,,,,,16428516.525304258
,,,,,,30816748.822438505
,,,,,,31451013.375253744
,,,,,,25235303.75951982
,,,,,,37293304.9549173
,,,,,,16332485.368525917
,,,,,,5324328.486003983
,,,,,,2652956.720899172
,,,,,,14276729.989823868
,,,,,,8549428.842971982
,,,,,,43841851.28026319
,,,,,,6589691.352078873
,,,,,,2194858.7409684714
,,,,,,13426163.579469657
,,,,,,25219444.628749825
,,,,,,519007.5073263828
,,,,,,15660480.038310291
,,,,,,39962277.31021162
,,,,,,12626815.013961451
,,,,,,18604252.95199501
,,,,,,3791819.314170297
,,,,,,31599815.360823877
,,,,,,24101354.28207681
,,,,,,3723654.90450696
,,,,,,22333324.696808565
,,,,,,14539207.277321516
,,,,,,19305048.418564864
,,,,,,28908444.325555168
,,,,,,7026998.867779639
,,,,,,32891806.802689787
,,,,,,32184407.09288269
,,,,,,35132273.5495851
,,,,,,16446844.363609431
,,,,,,45577087.52436391
,,,,,,4002853.263453559
,,,,,,2854667.280726136
,,,,,,5855456.119116155
,,,,,,34898054.04239413
,,,,,,41928469.39436983
,,,,,,18343291.86428525
,,,,,,13783205.953283267
,,,,,,39966861.541963406
,,,,,,30180944.787143733
,,,,,,43456377.82382229
,,,,,,41162649.65118424
,,,,,,35619408.126018554
,,,,,,28020896.78084089
,,,,,,15553192.300004402
,,,,,,21451239.53616221
,,,,,,46971334.2835915
,,,,,,20472460.634175397
,,,,,,14175722.042471448
,,,,,,23705634.84370272
,,,,,,41234448.027450085
,,,,,,47815120.058354944
,,,,,,190361.25435786275
,,,,,,9730932.32019374
,,,,,,37693941.28636165
,,,,,,21964921.244612347
,,,,,,19156554.078204226
,,,,,,9100622.857150655
,,,,,,29614762.55813664
,,,,,,17482530.353959803
,,,,,,14684468.705824357
,,,,,,41595202.73622711
,,,,,,2241225.3129406525
,,,,,,34209768.919261225
,,,,,,3517363.8537568874
,,,,,,23127095.269833367
,,,,,,25541467.310370225
,,,,,,40885332.88205383
,,,,,,45435362.82472363
,,,,,,22964656.892042607
,,,,,,11659928.22844349
,,,,,,43896598.92640106
,,,,,,6331468.214171963
,,,,,,3216067.840682044
,,,,,,3314416.780094731
,,,,,,27413219.848723456
,,,,,,1097125.358625035
,,,,,,34212113.29684773
,,,,,,3075356.699415312
,,,,,,472867.0063583304
,,,,,,17376771.053213928
,,,,,,30985040.867332146
,,,,,,14900375.662345825
,,,,,,3621973.060149867
,,,,,,12271813.998461071
,,,,,,11971207.037032375
,,,,,,9276114.169616032
,,,,,,8744719.390059935
,,,,,,213256.10462557813
,,,,,,3396289.4952671607
,,,,,,6412923.177889501
,,,,,,28532186.291133687
,,,,,,7629437.795931451
,,,,,,12847267.200266443
,,,,,,16812623.49515975
,,,,,,21393285.985269103
,,,,,,25196341.4280798
,,,,,,18805749.030914105
,,,,,,9671906.456755236
,,,,,,14985088.960128233
,,,,,,41029906.27649723
,,,,,,47689546.92688307
,,,,,,25392593.83108817
,,,,,,6377907.825822567
,,,,,,25000382.72457715
,,,,,,16905254.42049841
,,,,,,7978494.077732811
,,,,,,41970555.83468328
,,,,,,41780410.56081264
,,,,,,26818422.80670362
,,,,,,38223237.73268638
,,,,,,24955694.997712556
,,,,,,44619482.175042205
,,,,,,6715915.079402359
,,,,,,13548941.862123275
,,,,,,27613089.724757746
,,,,,,38850160.74751284
,,,,,,40853143.987844
,,,,,,15724264.654559288
,,,,,,28518390.840595163
,,,,,,21988046.04100165
,,,,,,20277163.85098885
,,,,,,24018851.379088327
,,,,,,20076352.22949668
,,,,,,3432854.936077654
,,,,,,37920493.337575845
,,,,,,43542825.05321066
,,,,,,35575557.88374833
,,,,,,21214578.198318336
,,,,,,18893530.623749163
,,,,,,4124237.7517507696
,,,,,,37443767.76188058
,,,,,,20303281.51394009
,,,,,,38213816.82098555
,,,,,,39603316.54678322
,,,,,,31575310.50563914
,,,,,,43361759.10401371
,,,,,,15324379.539
,,,,,,30466123.87106832
,,,,,,27034101.755680844
,,,,,,15868973.665367464
,,,,,,40534971.556777455
,,,,,,42814935.32303216
,,,,,,39096918.99589056
,,,,,,16258157.362319626
,,,,,,15493203.56910026
,,,,,,7728211.614262434
,,,,,,32945947.87265321
,,,,,,42097864.88337915
,,,,,,8660447.437540831
,,,,,,31390410.68278357
,,,,,,39836586.64648666
,,,,,,8707125.530708326
,,,,,,19282946.83115685
,,,,,,35904797.56769541
,,,,,,18329794.979114305
,,,,,,44316381.62253273
,,,,,,15211794.007995816
,,,,,,1862973.0744568664
,,,,,,9295956.975530148
,,,,,,6322982.407285513
,,,,,,34933694.189291865
,,,,,,21975353.02700697
,,,,,,11965062.28405591
,,,,,,14078475.78834366
,,,,,,25455923.21172273
,,,,,,40348143.07087862
,,,,,,18497524.064286776
,,,,,,40024011.70317914
,,,,,,14267276.637889722
,,,,,,7991847.494459786
,,,,,,20466484.64013311
,,,,,,2643548.2151386887
,,,,,,18281296.234077778
,,,,,,32980990.76063949
,,,,,,8951007.401804635
,,,,,,30954230.03104017
,,,,,,6183014.048339507
,,,,,,15410526.809240596
,,,,,,6666985.49753807
,,,,,,47054776.67635859
,,,,,,45609502.858862735
,,,,,,11413678.344853329
,,,,,,13767267.826383064
,,,,,,26552766.15662172
,,,,,,40510901.28081299
,,,,,,18006240.43969264
,,,,,,25686732.69319435
,,,,,,8143262.722999915
,,,,,,42819226.66421332
,,,,,,26777346.090658087
,,,,,,18857630.640862733
,,,,,,41005076.84995408
,,,,,,20041352.55465009
,,,,,,11966569.212335058
,,,,,,3568549.7000261545
,,,,,,4680640.661026076
,,,,,,27469446.125799432
,,,,,,2471876.216127981
,,,,,,39584588.65655928
,,,,,,18697723.213609315
,,,,,,48378684.3607009
,,,,,,29810878.872335367
,,,,,,38353091.867687866
,,,,,,41484408.70255695
,,,,,,7794203.212125379
,,,,,,8737707.827566314
,,,,,,17313394.607213132
,,,,,,19175887.940550804
,,,,,,34612784.55654257
,,,,,,29470692.29466758
,,,,,,35006695.99277434
,,,,,,37999305.072903655
,,,,,,38491966.40643168
,,,,,,43700029.79258356
,,,,,,30088844.58343576
,,,,,,25233100.8620974
,,,,,,16784703.944514908
,,,,,,10917449.967000565
,,,,,,15364393.659938438
,,,,,,30345821.33581726
,,,,,,46208114.57628552
,,,,,,21679950.130943127
,,,,,,16023529.817250846
,,,,,,30454562.70439085
,,,,,,699533.0566948787
,,,,,,2941056.7025385653
,,,,,,33707346.7458616
,,,,,,39244932.12438763
,,,,,,10715978.90095785
,,,,,,20407800.075576663
,,,,,,29858772.94047373
,,,,,,14305294.672685573
,,,,,,20972293.61541732
,,,,,,11132012.0
,,,,,,6005513.690733983
,,,,,,1765686.9720547572
,,,,,,31581757.57990934
,,,,,,34263151.246156424
,,,,,,28069805.48532289
,,,,,,15478032.054522716
,,,,,,11327638.404847443
,,,,,,36751265.765661575
,,,,,,39046015.3003627
,,,,,,8773082.868897365
,,,,,,4835904.939685281
,,,,,,20256126.401563328
,,,,,,42822915.53806548
,,,,,,34097493.31765014
,,,,,,45920910.25931861
,,,,,,2946525.411339824
,,,,,,1479386.0283754703
,,,,,,25199181.48497447
,,,,,,41024456.19312533
,,,,,,30551118.20355727
,,,,,,34242897.96576786
,,,,,,22451242.96870188
,,,,,,18803375.07601586
,,,,,,38550153.561916895
,,,,,,43411655.92209528
,,,,,,11588881.513155734
,,,,,,45913261.56732846
,,,,,,40606986.8221599
,,,,,,5581012.738978897
,,,,,,13803225.51131129
,,,,,,46201385.99389124
,,,,,,13273205.954128517
,,,,,,5292592.938028643
,,,,,,1611849.269035311
,,,,,,36547590.62361839
,,,,,,26609843.20138964
,,,,,,2327163.0929530105
,,,,,,37208300.26538144
,,,,,,35155885.48326012
,,,,,,25288289.126476318
,,,,,,22407307.454550225
,,,,,,35958014.32082405
,,,,,,627641.0099775261
,,,,,,26404308.14000988
,,,,,,30705900.33607857
,,,,,,32994255.57419558
,,,,,,37884536.121838994
,,,,,,35232441.171043195
,,,,,,39182785.29224474
,,,,,,11104618.944091965
,,,,,,4168349.234760029
,,,,,,31317666.06865361
,,,,,,19217537.14610437
,,,,,,8909284.487645356
,,,,,,20112127.899239607
,,,,,,6251514.53625739
,,,,,,26461491.98882438
,,,,,,45763726.28315075
,,,,,,17316234.19565228
,,,,,,38904751.30381475
,,,,,,34501378.96686718
,,,,,,24037663.580391426
,,,,,,12517927.50306458
,,,,,,37862215.57007884
,,,,,,40103041.04482272
,,,,,,8474742.080614617
,,,,,,42519509.3935184
,,,,,,18453337.38594462
,,,,,,22466220.68727894
,,,,,,34636634.50459301
,,,,,,3756303.394447982
,,,,,,22633554.740578767
,,,,,,10699049.473391715
,,,,,,14435356.59723957
,,,,,,11869479.810694473
,,,,,,20227616.48711568
,,,,,,20273320.252177063
,,,,,,744805.4228312639
,,,,,,14818441.051385636
,,,,,,31479588.467683144
,,,,,,34983199.65243941
,,,,,,20325591.50744956
,,,,,,17142849.50109157
,,,,,,15034509.769345736
,,,,,,8581028.702426665
,,,,,,6861826.580302184
,,,,,,35838356.470894225
,,,,,,43282720.71303577
,,,,,,1938791.9288389853
,,,,,,1494392.6207405254
,,,,,,10703509.455279626
,,,,,,1608707.1604143295
,,,,,,39744592.7989481
,,,,,,43626334.00983769
,,,,,,32188122.05820176
,,,,,,9351823.463471876
,,,,,,36163855.3690825
,,,,,,2195852.6762587563
,,,,,,37931861.617411785
,,,,,,32200450.39569024
,,,,,,42362538.4269789
,,,,,,13280233.35098203
,,,,,,3366401.900240881
,,,,,,26763215.127682418
,,,,,,24105903.186566897
,,,,,,13539004.116605164
,,,,,,19260819.22644098
,,,,,,34046656.82432944
,,,,,,17566953.080919657
,,,,,,45783624.29457861
,,,,,,10558987.661980491
,,,,,,33432320.39858323
,,,,,,10965393.24643124
,,,,,,481522.7851377633
,,,,,,9919000.844676778
,,,,,,40051486.26435317
,,,,,,20566351.76712796
,,,,,,20871005.0245352
,,,,,,14897479.82081682
,,,,,,21312923.093846787
,,,,,,19238884.814300437
,,,,,,4741881.001621764
,,,,,,16628894.272503898
,,,,,,6277846.608497437
,,,,,,45159534.71797509
,,,,,,16787426.990983654
,,,,,,10875626.323246734
,,,,,,9492547.835236868
,,,,,,31293676.394295078
,,,,,,35298756.90153386
,,,,,,28593199.787214752
,,,,,,14351443.299788322
,,,,,,15489803.853287796
,,,,,,24412414.45425541
,,,,,,2140309.9912728416
,,,,,,15940272.21740002
,,,,,,5510128.805337322
,,,,,,28805021.8797504
,,,,,,5542396.297297707
,,,,,,3055202.9949626494
,,,,,,31400330.875667345
,,,,,,42585119.90104328
,,,,,,40868668.13740759
,,,,,,23282971.680808496
,,,,,,988084.6610524087
,,,,,,22524538.772756096
,,,,,,13750093.070435436
,,,,,,6650014.705282991
,,,,,,18148370.02350104
,,,,,,38586428.95441089
,,,,,,36086935.160212494
,,,,,,29325337.30619177
,,,,,,17076342.08881998
,,,,,,4581311.325764912
,,,,,,4014940.313229757
,,,,,,39453951.73865642
,,,,,,30347497.774249256
,,,,,,11115565.692555066
,,,,,,32691263.99271564
,,,,,,4693710.419485612
,,,,,,4146752.141376431
,,,,,,46167265.82512701
,,,,,,43556953.32033795
,,,,,,31283661.91696201
,,,,,,27562960.27767824
,,,,,,41185765.939740136
,,,,,,21510913.56606506
,,,,,,35009792.32051374
,,,,,,47547984.34379567
,,,,,,42899193.03794485
,,,,,,21478530.85486576
,,,,,,13962817.767823454
,,,,,,42467995.77650338
,,,,,,19429541.46745121
,,,,,,13753173.61488748
,,,,,,11247801.345979374
,,,,,,24181501.13069272
,,,,,,9551877.164882287
,,,,,,24019537.70372813
,,,,,,11302715.786225803
,,,,,,6904101.121836123
,,,,,,11215190.555847168
,,,,,,12373754.973995406
,,,,,,6390457.36663106
,,,,,,34513155.728804864
,,,,,,9801379.948111111
,,,,,,8014092.982874918
,,,,,,25936302.21694952
,,,,,,28751816.98995822
,,,,,,25112181.53339566
,,,,,,26416548.327283137
,,,,,,43782122.38263048
,,,,,,42520204.56191655
,,,,,,23549216.333886094
,,,,,,6476375.1804269785
,,,,,,13929707.868119638
,,,,,,36678251.13102416
,,,,,,22433483.39576954
,,,,,,27604318.03949905
,,,,,,22329614.329597767
,,,,,,-150062.64885252522
,,,,,,35475325.312072106
,,,,,,1574528.2841866063
,,,,,,17523562.536688503
,,,,,,29990868.36172157
,,,,,,36872117.216697335
,,,,,,36050688.91100519
,,,,,,17004380.546611942
,,,,,,35458913.54140493
,,,,,,47292789.68622178
,,,,,,1476094.9307580348
,,,,,,39341863.960528895
,,,,,,42812136.85127468
,,,,,,20467982.75994508
,,,,,,22246549.42189444
,,,,,,665923.176799662
,,,,,,34532020.37221277
,,,,,,45378192.78013604
,,,,,,15657451.021339469
,,,,,,16112358.929905534
,,,,,,13052901.97698384
,,,,,,35988234.64756525
,,,,,,46450883.14503825
,,,,,,33191362.364006992
,,,,,,40836885.47007058
,,,,,,31647989.277914718
,,,,,,7125761.410855847
,,,,,,9581798.667521307
,,,,,,35382447.94483698
,,,,,,42707323.33084192
,,,,,,3568054.294555849
,,,,,,44367692.18013691
,,,,,,46588610.29675432
,,,,,,22160834.09960736
,,,,,,19967326.69611511
,,,,,,28981772.69697867
,,,,,,39809338.62965554
,,,,,,46918005.73540904
,,,,,,30391763.48726574
,,,,,,1251279.5664576222
,,,,,,42966964.63588062
,,,,,,14075191.620352386
,,,,,,26913511.960844725
,,,,,,5857144.996037652
,,,,,,30732104.670736395
,,,,,,15340620.08811883
,,,,,,3532375.008469676
,,,,,,29425985.78337647
,,,,,,7504689.267347074
,,,,,,29549924.63460258
,,,,,,22559509.801124487
,,,,,,5757481.892012829
,,,,,,30713044.771972857
,,,,,,14767063.802719625
,,,,,,3694830.724166727
,,,,,,22764666.526525825
,,,,,,6570995.039791277
,,,,,,25363603.09552564
,,,,,,42104595.5265441
,,,,,,21652971.76684316
,,,,,,34894764.072507985
,,,,,,13508066.514362715
,,,,,,17111164.254008632
,,,,,,38706680.814522326
,,,,,,2611982.593801136
,,,,,,11231759.019309776
,,,,,,13104134.984136527
,,,,,,14246484.61917366
,,,,,,9969491.881489664
,,,,,,2636916.287597377
,,,,,,24237521.801722504
,,,,,,-135782.65259687073
,,,,,,22735781.8629275
,,,,,,15024210.723609362
,,,,,,22846407.56829408
,,,,,,7325658.0206500115
,,,,,,24847634.46285349
,,,,,,19922080.136762936
,,,,,,36486364.45523123
,,,,,,3543816.744191012
,,,,,,39952882.87732249
,,,,,,18958441.74544724
,,,,,,33004650.799295027
,,,,,,43626557.43550893
,,,,,,29280865.3279404
,,,,,,3500459.7459901427
,,,,,,30480402.38778293
,,,,,,47602143.75033024
,,,,,,24919974.795555003
,,,,,,45778567.31683371
,,,,,,43350783.562933885
,,,,,,33935965.19623949
,,,,,,27075186.678956687
,,,,,,14804969.522212269
,,,,,,34002779.07450369
,,,,,,4647874.2789268745
,,,,,,23257849.89758084
,,,,,,44471347.77116185
,,,,,,28880579.706078704
,,,,,,36429765.71408671
,,,,,,21233177.96446293
,,,,,,19660119.79016782
,,,,,,24475152.214194182
,,,,,,5957479.834649307
,,,,,,46786611.0433727
,,,,,,43426193.18712018
,,,,,,8680750.956822207
,,,,,,44858358.909356095
,,,,,,39446661.453173086
,,,,,,6774306.538723668
,,,,,,16236943.279421456
,,,,,,28197152.116420392
,,,,,,20567227.806740407
,,,,,,18971492.74452733
,,,,,,3423106.9626750927
,,,,,,45463469.60323095
,,,,,,21829149.091113355
,,,,,,21467254.82271512
,,,,,,14846672.768466754
,,,,,,32485414.699040346
,,,,,,31060920.373045675
,,,,,,14051627.53624248
,,,,,,16472379.164816689
,,,,,,5403808.359633651
,,,,,,24502047.6679506
,,,,,,40593332.525866106
,,,,,,33094914.27756031
,,,,,,46103560.53983957
,,,,,,1035041.1338135344
,,,,,,14855047.68324906
,,,,,,26502828.46970974
,,,,,,11380205.999368196
,,,,,,23990841.610301796
,,,,,,16195644.770296885
,,,,,,36899959.03447663
,,,,,,23681525.665103044
,,,,,,42389486.564401485
,,,,,,31718805.643025663
,,,,,,33544131.694646865
,,,,,,42215067.996197246
,,,,,,44361157.36968488
,,,,,,40428908.71877367
,,,,,,23477596.5010234
,,,,,,20992709.50496936
,,,,,,15124696.953505533
,,,,,,40174399.06721655
,,,,,,6850921.631520343
,,,,,,46086483.23890735
,,,,,,15755573.720031612
,,,,,,8744903.7418737
,,,,,,28617668.392943893
,,,,,,27312166.13192445
,,,,,,3011113.142667108
,,,,,,4530073.383585538
,,,,,,119752.71234850322
,,,,,,28296871.30888489
,,,,,,15144698.225393726
,,,,,,42318886.64652276
,,,,,,18251155.520825103
,,,,,,36280178.10431082
,,,,,,12049426.934148297
,,,,,,20571758.756595496
,,,,,,2855017.598453028
,,,,,,30893624.93777442
,,,,,,46294024.96673448
,,,,,,11995774.50380035
,,,,,,2097583.058855299
,,,,,,32334262.26805968
,,,,,,355790.15490379906
,,,,,,35214890.6973867
,,,,,,31743183.85337474
,,,,,,2750443.673420841
,,,,,,12475075.40598519
,,,,,,40938347.16237029
,,,,,,12472185.11976329
,,,,,,4753186.899073619
,,,,,,2905892.242760775
,,,,,,23635502.826951936
,,,,,,40090263.3579896
,,,,,,44197856.47564724
,,,,,,6029893.097173766
,,,,,,17946772.889255796
,,,,,,5134712.879989531
,,,,,,33621314.7491964
,,,,,,6486326.368526441
,,,,,,3928265.862276725
,,,,,,34731536.50186489
,,,,,,13895105.16365373
,,,,,,17189951.0837372
,,,,,,23316250.90199749
,,,,,,46554077.50695987
,,,,,,6153268.572840327
,,,,,,4538181.23646181
,,,,,,43892771.79825378
,,,,,,13413986.17838837
,,,,,,6538235.293613711
,,,,,,1076053.1059544862
,,,,,,28253942.791447144
,,,,,,21869456.928568963
,,,,,,35996950.95973387
,,,,,,8025996.874595348
,,,,,,3819078.03561561
,,,,,,49083894.49292109
,,,,,,35047535.14801545
,,,,,,28077097.169255946
,,,,,,20588404.50222066
,,,,,,3257219.394053373
,,,,,,33593126.70385555
,,,,,,4752973.727490934
,,,,,,43069748.13377868
,,,,,,8797695.574478906
,,,,,,37315673.58916352
,,,,,,23587826.173575368
,,,,,,7984714.73240599
,,,,,,2369362.95493115
,,,,,,7015960.048007961
,,,,,,40376180.27720199
,,,,,,17924156.742439367
,,,,,,16505118.25382117
,,,,,,11435026.275116617
,,,,,,45624226.036200576
,,,,,,19063492.11039688
,,,,,,37574908.22213388
,,,,,,24100216.768069796
,,,,,,39464415.88346989
,,,,,,21483473.91508862
,,,,,,15185322.949209737
,,,,,,490175.6828245852
,,,,,,13051402.264109831
,,,,,,5340274.448691192
,,,,,,17243239.377632845
,,,,,,34135435.100090496
,,,,,,14951755.836022628
,,,,,,2895629.1008080463
,,,,,,17173313.45846002
,,,,,,31371403.86188512
,,,,,,39453228.60960464
,,,,,,29562808.70562444
,,,,,,42597801.17461144
,,,,,,44458256.11299784
,,,,,,9992001.99787391
,,,,,,28360134.692463268
,,,,,,7658126.484040528
,,,,,,30043939.20793144
,,,,,,2788637.1472359044
,,,,,,21769836.856582724
,,,,,,12042707.16924242
,,,,,,1394468.9842723005
,,,,,,905326.4440804692
,,,,,,8463317.553922577
,,,,,,19093848.406343885
,,,,,,4029904.138887776
,,,,,,22481703.817620937
,,,,,,23151785.95269601
,,,,,,7954642.792369524
,,,,,,39322631.82933439
,,,,,,37893682.33672065
,,,,,,40547306.179997705
,,,,,,47786129.196231216
,,,,,,1204170.3843447969
,,,,,,43480912.00017591
,,,,,,6831704.355234884
,,,,,,19872425.65098954
,,,,,,31853128.99586385
,,,,,,26087740.00827843
,,,,,,15131173.722204758
,,,,,,11688700.516894275
,,,,,,1156501.2108803398
,,,,,,36022744.20635443
,,,,,,23498474.316256303
,,,,,,45716868.17836853
,,,,,,15152477.197798062
,,,,,,27140857.20459801
,,,,,,47716628.416986935
,,,,,,30935892.82616688
,,,,,,32813704.551967148
,,,,,,43145589.12802176
,,,,,,17038201.583294544
,,,,,,45240740.179822885
,,,,,,37343859.81911677
,,,,,,43055036.63112339
,,,,,,18853698.954387136
,,,,,,4664679.002573848
,,,,,,23280941.526066963
,,,,,,43930128.931208976
,,,,,,33623425.40622423
,,,,,,35919888.366766125
,,,,,,3691529.072420553
,,,,,,34263631.01639875
,,,,,,29676410.01968962
,,,,,,17364712.514881793
,,,,,,37563359.58329995
,,,,,,47254938.03890051
,,,,,,41309689.850323886
,,,,,,11592786.193492863
,,,,,,11013361.628607048
,,,,,,39141476.3791373
,,,,,,28949628.39738173
,,,,,,15183669.078480178
,,,,,,11172637.0206911
,,,,,,4007911.5178416846
,,,,,,8758164.426997088
,,,,,,34009166.93608583
,,,,,,12417813.798850683
,,,,,,124700.55111247292
,,,,,,21775802.68963913
,,,,,,22578254.35382141
,,,,,,13454113.069232795
,,,,,,44867973.692638144
,,,,,,17934607.841308653
,,,,,,18730654.58531706
,,,,,,36383525.17917661
,,,,,,12255956.11318631
,,,,,,27042340.203829303
,,,,,,11454415.116394728
,,,,,,35329613.02408334
,,,,,,40882649.30438571
,,,,,,38137753.24156949
,,,,,,20540541.05548897
,,,,,,14580808.328560542
,,,,,,32250314.22311647
,,,,,,20757415.135351483
,,,,,,9120951.341799011
,,,,,,15296563.583608944
,,,,,,15214938.506454008
,,,,,,38333195.52805103
,,,,,,2039298.3204422027
,,,,,,10362632.316845946
,,,,,,33298362.739222527
,,,,,,42850958.05642992
,,,,,,43161888.29262182
,,,,,,8693316.091254475
,,,,,,46698264.56700425
,,,,,,28591347.00826106
,,,,,,22434534.479699668
,,,,,,10854693.901500018
,,,,,,20328839.87815245
,,,,,,22096980.313441936
,,,,,,30560541.114229728
,,,,,,22591312.32022341
,,,,,,11160092.695989393
,,,,,,48262004.21272175
,,,,,,23885818.164158177
,,,,,,7622420.708197366
,,,,,,19707075.43708433
,,,,,,24601541.301543597
,,,,,,22622512.90943424
,,,,,,7179510.304672876
,,,,,,30931073.54355334
,,,,,,32548326.313055307
,,,,,,32678467.95023445
,,,,,,36206116.181622416
,,,,,,30851703.24613464
,,,,,,27335951.178111
,,,,,,38818269.27210754
,,,,,,42179295.33006284
,,,,,,27833174.82105093
,,,,,,4436019.892056102
,,,,,,30662443.99342636
,,,,,,39382478.77546011
,,,,,,972449.0981503272
,,,,,,46680827.62669548
,,,,,,25585141.03266457
,,,,,,25322025.561882105
,,,,,,47223459.89372842
,,,,,,30964167.384764243
,,,,,,20583117.61438855
,,,,,,22625007.498756822
,,,,,,17971995.940251447
,,,,,,14026863.0
,,,,,,24177757.042069454
,,,,,,39833259.94986833
,,,,,,2982398.356726586
,,,,,,5291385.520030076
,,,,,,31090211.033596717
,,,,,,25095716.67488238
,,,,,,300941.882324735
,,,,,,28133850.80727088
